0,0,3,0,3,0.00,0.00
5.161864,0,141,0,23,0.00,0.00
10.54623,8,141,0,23,0.00,5.67
15.59366,12,141,0,23,0.00,8.51
20.70656,23,141,0,23,0.00,16.31
25.78145,34,141,0,23,0.00,24.11
30.86209,36,141,0,23,0.00,25.53
35.96189,38,141,0,23,0.00,26.95
41.04703,57,141,0,23,0.00,40.43
46.04752,72,141,0,23,0.00,51.06
51.14772,98,141,0,23,0.00,69.50
56.25281,123,141,0,23,0.00,87.23
61.33676,128,141,0,23,0.00,90.78
66.54697,136,141,0,23,0.00,96.45
71.65588,138,153,0,26,0.00,90.20
76.68252,146,153,0,26,0.00,95.42
81.6897,150,153,0,26,0.00,98.04
86.78479,150,161,0,30,0.00,93.17
91.89828,158,161,0,30,0.00,98.14
97.01865,161,169,0,30,0.00,95.27
102.2741,166,171,0,31,0.00,97.08
107.342,168,171,0,31,0.00,98.25
112.3487,175,179,0,32,0.00,97.77
117.41,182,185,0,33,0.00,98.38
122.4936,183,187,0,34,0.00,97.86
127.5271,186,191,0,34,0.00,97.38
132.6262,191,195,0,34,0.00,97.95
137.6505,194,197,0,35,0.00,98.48
142.7078,194,197,0,35,0.00,98.48
147.8213,194,199,0,35,0.00,97.49
152.8352,196,199,0,35,0.00,98.49
157.8456,198,201,0,36,0.00,98.51
161.0175,198,201,0,36,0.00,98.51
